,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
317126510077,7.42,8.13,B+,B+,A+,C,A,A,A,B+
317126510078,9.04,8.90,A+,A+,A+,A,O,A+,A+,A+
317126510079,7.04,7.16,B+,B+,B+,B,B+,B+,A,A
317126510080,9.04,8.72,A+,A,O,A+,O,A+,A,A
317126510082,,,P,F,F,P,F,C,A,F
317126510083,,,P,C,B,F,B+,F,A,B+
317126510084,9.04,8.84,A+,B+,O,A,O,O,A+,A+
317126510085,5.63,6.24,P,C,B,P,B+,B,A,B
317126510086,8.88,8.43,A+,A,O,A+,A+,A,A+,A
317126510088,,,P,F,P,P,C,B+,B,B+
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510089,6.54,6.70,B,B,B,B+,B+,B+,A,B
317126510090,,,P,P,C,F,B+,F(Ab,B+,F(Ab
317126510091,9.21,8.67,A+,A+,O,A,O,A+,A+,A+
317126510092,8.21,7.94,A,A,A+,B+,A+,A,A+,B+
317126510093,9.00,8.76,A+,A,A+,A,O,A+,A+,O
317126510094,6.25,7.13,B,B,B,P,B,B+,A+,A
317126510095,5.25,6.00,P,P,C,P,B,C,B+,A+
317126510096,9.50,9.48,O,A+,A+,A+,O,A+,O,O
317126510097,8.92,8.72,A+,A,A+,A,A+,A+,O,O
317126510098,8.67,8.48,A+,A+,A,B+,A+,O,A+,A+
317126510099,8.96,8.49,A,A+,A+,A,O,A+,A+,O
317126510100,7.92,8.01,B,B+,A,B+,O,A+,A+,A
317126510101,7.67,8.04,A,B,B+,A,B+,A+,A,O
317126510102,7.29,6.75,B+,B,A,B+,B+,A,A,A
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510103,5.46,6.39,C,C,B,P,P,A,B+,B+
